v,d,s,r,p
4,0.039,14.011,0,1.158
8,0.066,20.006,0,1.211
12,0.077,31.177,0,1.209
24,0.077,33.133,0,1.487
4,0.054,31.014,1,1.141
8,0.113,37.192,1,1.075
12,0.065,35.223,1,1.223
24,0.041,21.935,1,1.669
4,0.032,17.298,0,1.076
8,0.082,39.597,0,1.166
12,0.063,33.535,0,1.179
24,0.022,11.806,0,1.958
4,0.051,19.137,1,1.031
8,0.034,18.276,1,1.205
12,0.024,13.468,1,1.529
24,0.081,36.182,1,1.575
4,0.078,39.639,0,1.024
8,0.040,20.254,0,1.138
12,0.121,39.562,0,1.190
24,0.076,24.700,0,1.570
4,0.046,15.440,1,1.176
8,0.062,27.150,1,1.269
12,0.033,19.456,1,1.283
24,0.059,30.298,1,1.476
4,0.039,22.506,0,1.145
8,0.054,31.982,0,1.179
12,0.029,10.302,0,1.315
24,0.113,37.925,0,1.505
4,0.044,25.748,1,1.180
8,0.083,37.618,1,1.169
12,0.071,31.503,1,1.208
24,0.043,21.983,1,1.721
4,0.035,19.840,0,1.068
8,0.096,35.131,0,1.151
12,0.048,18.199,0,1.199
24,0.054,23.544,0,1.589
4,0.050,26.387,1,1.091
8,0.075,27.893,1,1.270
12,0.094,32.272,1,1.151
24,0.077,36.412,1,1.405
4,0.076,34.266,0,1.037
8,0.032,14.944,0,1.330
12,0.028,14.469,0,1.412
24,0.028,15.805,0,1.730
4,0.096,33.487,1,1.042
8,0.052,30.377,1,1.184
12,0.043,20.073,1,1.328
24,0.038,21.287,1,1.544
4,0.068,23.873,0,1.032
8,0.022,11.969,0,1.381
12,0.079,28.662,0,1.124
24,0.036,20.208,0,1.580
4,0.077,28.881,1,1.153
8,0.088,38.592,1,1.174
12,0.053,22.093,1,1.243
24,0.079,25.787,1,1.515
4,0.030,15.030,0,1.147
8,0.067,30.625,0,1.200
12,0.036,19.023,0,1.251
24,0.048,24.716,0,1.704
4,0.074,38.854,1,1.035
8,0.026,13.129,1,1.365
12,0.039,22.280,1,1.357
24,0.068,28.973,1,1.350
4,0.085,31.761,0,1.102
8,0.056,20.338,0,1.090
12,0.024,11.519,0,1.403
24,0.052,27.883,0,1.537
4,0.025,14.298,1,1.111
8,0.062,32.371,1,1.171
12,0.044,23.938,1,1.268
24,0.048,17.742,1,1.480
4,0.089,29.175,0,1.109
8,0.057,30.718,0,1.166
12,0.062,21.212,0,1.288
24,0.091,35.837,0,1.321
4,0.093,36.620,1,1.074
8,0.026,10.134,1,1.282
12,0.063,35.304,1,1.259
24,0.088,29.808,1,1.518
4,0.038,18.023,0,1.138
8,0.082,28.193,0,1.044
12,0.073,35.889,0,1.258
24,0.061,35.786,0,1.540
4,0.066,23.549,1,1.045
8,0.041,15.682,1,1.094
12,0.043,15.256,1,1.210
24,0.063,34.476,1,1.596
4,0.063,26.658,0,1.039
8,0.069,32.685,0,1.209
12,0.047,26.211,0,1.275
24,0.077,31.481,0,1.483
4,0.083,31.182,1,1.132
8,0.050,26.202,1,1.221
12,0.025,12.878,1,1.401
24,0.062,32.994,1,1.496
4,0.034,10.878,0,1.087
8,0.047,19.934,0,1.265
12,0.037,19.989,0,1.238
24,0.074,34.612,0,1.334
4,0.051,23.444,1,1.007
8,0.052,28.261,1,1.222
12,0.024,12.550,1,1.289
24,0.051,15.817,1,1.523
4,0.069,21.771,0,1.120
8,0.096,32.940,0,1.025
12,0.036,21.403,0,1.236
24,0.064,32.359,0,1.378
4,0.068,30.270,1,1.147
8,0.088,28.792,1,1.249
12,0.033,13.718,1,1.308
24,0.071,22.050,1,1.532
4,0.094,28.443,0,1.048
8,0.034,18.239,0,1.208
12,0.022,11.068,0,1.326
24,0.031,14.432,0,1.704
4,0.031,11.101,1,1.185
8,0.087,37.257,1,1.214
12,0.097,33.384,1,1.298
24,0.059,34.268,1,1.376
4,0.041,21.124,0,1.087
8,0.092,39.041,0,1.081
12,0.024,13.595,0,1.508
24,0.043,22.779,0,1.659
4,0.057,22.929,1,0.974
8,0.027,11.163,1,1.321
12,0.069,37.090,1,1.130
24,0.029,16.153,1,1.619
4,0.042,13.423,0,1.133
8,0.035,15.452,0,1.324
12,0.029,14.528,0,1.237
24,0.072,30.700,0,1.336
4,0.056,32.912,1,0.992
8,0.050,21.225,1,1.160
12,0.062,33.947,1,1.161
24,0.089,36.259,1,1.543
4,0.084,30.347,0,1.023
8,0.062,35.623,0,1.159
12,0.027,15.040,0,1.495
24,0.056,30.460,0,1.402
4,0.062,31.678,1,1.161
8,0.062,24.977,1,1.221
12,0.053,18.809,1,1.160
24,0.049,17.681,1,1.504
4,0.054,25.267,0,1.091
8,0.100,35.869,0,1.061
12,0.072,36.242,0,1.226
24,0.021,11.148,0,2.050
4,0.091,34.304,1,1.073
8,0.061,21.371,1,1.263
12,0.071,38.247,1,1.251
24,0.027,15.826,1,1.893
4,0.081,36.036,0,1.086
8,0.048,23.967,0,1.079
12,0.064,28.336,0,1.335
24,0.041,22.156,0,1.612
4,0.050,29.751,1,1.024
8,0.033,16.428,1,1.184
12,0.094,38.402,1,1.285
24,0.076,32.757,1,1.447
4,0.069,27.391,0,1.129
8,0.098,33.928,0,1.145
12,0.050,17.964,0,1.244
24,0.031,15.917,0,1.810
4,0.036,15.710,1,1.059
8,0.088,34.447,1,1.089
12,0.113,35.637,1,1.251
24,0.033,15.753,1,1.608
4,0.037,17.869,0,1.123
8,0.069,21.530,0,1.256
12,0.062,31.761,0,1.239
24,0.075,27.419,0,1.420
4,0.089,34.608,1,1.106
8,0.063,26.132,1,1.278
12,0.059,19.830,1,1.167
24,0.043,19.187,1,1.565
4,0.039,18.575,0,1.138
8,0.025,13.627,0,1.214
12,0.023,11.688,0,1.283
24,0.020,11.735,0,2.080
4,0.070,36.692,1,1.166
8,0.066,28.394,1,1.093
12,0.067,36.610,1,1.363
24,0.067,37.967,1,1.368
4,0.039,21.742,0,1.058
8,0.078,32.141,0,1.248
12,0.028,13.665,0,1.461
24,0.075,39.718,0,1.457
4,0.055,17.850,1,1.121
8,0.058,27.362,1,1.277
